"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "HTTP", "comment", "blank", "total"
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\frontend\src\components\Main.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\frontend\src\components\MuscleGroupImage.js", "JavaScript", 23, 0, 0, 0, 0, 1, 7, 31
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\frontend\src\components\NavBar.js", "JavaScript", 55, 0, 0, 0, 0, 0, 4, 59
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\frontend\src\components\Overview\Overview.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\frontend\src\components\Programs\Programs.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\frontend\src\components\Statistics\Statistics.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\frontend\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\App.js", "JavaScript", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\app.json", "JSON", 0, 0, 18, 0, 0, 16, 0, 34
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\package-lock.json", "JSON", 0, 0, 36206, 0, 0, 0, 1, 36207
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\package.json", "JSON", 0, 0, 36, 0, 0, 0, 1, 37
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\CreatePlannedWorkout\CreatePlannedSet.js", "JavaScript", 138, 0, 0, 0, 0, 0, 18, 156
